param_clf__n_neighbors,param_clf__weights,mean_test_score,std_test_score
21,uniform,0.6251034166618742,0.00601212365214142
31,uniform,0.6207002380441439,0.006793083418767566
51,uniform,0.6205890726142224,0.0058165919629750065
11,uniform,0.6188501402110532,0.009262716088116206
5,uniform,0.6088882667200137,0.00930209874893096
21,distance,0.5982079507067448,0.005429354706934157
51,distance,0.5949460697063443,0.006835747834466045
31,distance,0.5948372581901945,0.006179675145042446
11,distance,0.5918877131813036,0.007642029532750529
5,distance,0.5880526667204026,0.01145431367186418
